"","sequence_size","db_size","cores","time"
"1",10000,10000,"1",3.30469012260437
"2",10000,10000,"2",4.70100998878479
"3",10000,10000,"4",3.40522909164429
"4",10000,10000,"8",4.38577389717102
"5",20000,10000,"1",4.77475595474243
"6",20000,10000,"2",4.76665282249451
"7",20000,10000,"4",4.08890080451965
"8",20000,10000,"8",5.02248406410217
"9",50000,10000,"1",9.52346801757812
"10",50000,10000,"2",8.80262088775635
"11",50000,10000,"4",6.45373106002808
"12",50000,10000,"8",7.63685894012451
"13",100000,10000,"1",19.0474710464478
"14",100000,10000,"2",14.5972411632538
"15",100000,10000,"4",10.4161748886108
"16",100000,10000,"8",11.0372099876404
"17",200000,10000,"1",36.682559967041
"18",200000,10000,"2",32.8278479576111
"19",200000,10000,"4",23.6253950595856
"20",200000,10000,"8",20.924742937088
"21",10000,20000,"1",3.09583711624146
"22",10000,20000,"2",3.64895701408386
"23",10000,20000,"4",3.3397171497345
"24",10000,20000,"8",4.24734997749329
"25",20000,20000,"1",5.00095796585083
"26",20000,20000,"2",4.45019197463989
"27",20000,20000,"4",4.42478704452515
"28",20000,20000,"8",5.16879606246948
"29",50000,20000,"1",10.2712571620941
"30",50000,20000,"2",8.12201905250549
"31",50000,20000,"4",7.21022796630859
"32",50000,20000,"8",7.14226484298706
"33",100000,20000,"1",21.0452129840851
"34",100000,20000,"2",16.8471610546112
"35",100000,20000,"4",12.0646920204163
"36",100000,20000,"8",10.8306760787964
"37",200000,20000,"1",39.2118821144104
"38",200000,20000,"2",32.6450052261353
"39",200000,20000,"4",26.3542301654816
"40",200000,20000,"8",23.2179789543152
"41",10000,50000,"1",3.8323609828949
"42",10000,50000,"2",4.4109091758728
"43",10000,50000,"4",4.3809061050415
"44",10000,50000,"8",5.21233582496643
"45",20000,50000,"1",6.13424801826477
"46",20000,50000,"2",5.51304912567139
"47",20000,50000,"4",4.57556509971619
"48",20000,50000,"8",5.79754209518433
"49",50000,50000,"1",13.1049060821533
"50",50000,50000,"2",10.0848200321198
"51",50000,50000,"4",7.87644004821777
"52",50000,50000,"8",9.0850248336792
"53",100000,50000,"1",24.3441700935364
"54",100000,50000,"2",16.9146418571472
"55",100000,50000,"4",12.2942271232605
"56",100000,50000,"8",11.521956205368
"57",200000,50000,"1",45.7346038818359
"58",200000,50000,"2",36.3138039112091
"59",200000,50000,"4",26.2235100269318
"60",200000,50000,"8",24.1103429794312
"61",10000,100000,"1",4.15408110618591
"62",10000,100000,"2",4.01526284217834
"63",10000,100000,"4",3.851233959198
"64",10000,100000,"8",4.87444806098938
"65",20000,100000,"1",6.5576639175415
"66",20000,100000,"2",5.84772396087646
"67",20000,100000,"4",4.90074491500854
"68",20000,100000,"8",5.89088010787964
"69",50000,100000,"1",14.5958769321442
"70",50000,100000,"2",10.72518491745
"71",50000,100000,"4",8.40751695632935
"72",50000,100000,"8",11.5246469974518
"73",100000,100000,"1",28.1356251239777
"74",100000,100000,"2",20.2321391105652
"75",100000,100000,"4",14.5157430171967
"76",100000,100000,"8",13.0206360816956
"77",200000,100000,"1",56.498682975769
"78",200000,100000,"2",41.6069939136505
"79",200000,100000,"4",30.80295586586
"80",200000,100000,"8",27.8714258670807
"81",10000,200000,"1",5.52848601341248
"82",10000,200000,"2",4.52829909324646
"83",10000,200000,"4",4.43952393531799
"84",10000,200000,"8",5.71303415298462
"85",20000,200000,"1",9.10975217819214
"86",20000,200000,"2",7.18337202072144
"87",20000,200000,"4",5.78469610214233
"88",20000,200000,"8",6.92717504501343
"89",50000,200000,"1",19.6633529663086
"90",50000,200000,"2",14.0642988681793
"91",50000,200000,"4",10.6254920959473
"92",50000,200000,"8",10.3972809314728
"93",100000,200000,"1",38.4688701629639
"94",100000,200000,"2",25.3456060886383
"95",100000,200000,"4",17.6628060340881
"96",100000,200000,"8",15.9197080135345
"97",200000,200000,"1",77.7381269931793
"98",200000,200000,"2",54.243705034256
"99",200000,200000,"4",38.1408438682556
"100",200000,200000,"8",33.377012014389
